Individual,collection,AHR,AIING,BDNF,BMP2,HMGB2,HNFL,NB22519,PSMC1,PAX1P1,R35,RAG-1,TB01,TB29,TB73,ZFHX1B
Cinsculpta_HBS119093,H.B Shaffer Collection,MT958331,MT964003,MT958784,MT959405,MT965015,MT959930,MT960343,MT964476,MT960792,MT961248,MT961737,MT962165,MT962656,MT963092,MT963465
Cinsculpta_TNE931,Tag Engstrom Collection,GU085509,GU085528,GU085547,GU085566,GU085585,GU085604,GU085618,GU085636,GU085654,AY259571,MT961738,GU085694,GU085712,-,MT963466
Claudius_angustatus_HBS121589,H.B Shaffer Collection,MT958332,KJ582561,KJ582608,KJ582655,KJ582702,KJ582749,KJ582788,KJ582833,MT960914,KJ582915,MT961739,KJ583006,KJ583051,-,KJ583092
Claudius_angustatus_JAC18575 = UTA R-43959,University of Texas at Arlington Herpetological Collection,MT958333,KJ582562,KJ582609,MT959407,KJ582703,KJ582750,KJ582789,KJ582834,KJ582877,KJ582916,MT961740,KJ583007,KJ583052,-,KJ583093
Clongicollis_AMR123050,University of Canberra Wildlife Tissue Collection,MT958334,MT964006,MT959255,MT959408,MT965298,-,-,MT964801,MT960943,MT961251,MT961741,MT962168,MT962659,MT963093,MT963469
Clongicollis_HBS41197,H.B Shaffer Collection,MT958335,MT964007,MT959248,MT959409,MT965297,-,-,MT964979,MT960732,MT961252,MT961742,MT962169,MT962660,MT963094,MT963470
Cmccordi_HBS41892,H.B Shaffer Collection,JQ596019,JQ596059,JQ596099,JQ596139,JQ596179,EF011287,JQ596228,JQ596402,JQ596366,EF011437,JQ596448,JQ596495,JQ596534,JQ596572,JQ596610
Cmccordi_HBS41893,H.B Shaffer Collection,JQ596020,JQ596060,JQ596100,JQ596140,JQ596180,EF011288,JQ596229,JQ596403,JQ596367,EF011438,JQ596449,JQ596496,JQ596535,JQ596573,JQ596611
Cmouhotii_HBS41865,H.B Shaffer Collection,JQ596021,JQ596061,JQ596101,JQ596141,JQ596181,EF011290,JQ596230,JQ596404,-,EF011440,JQ596450,JQ596497,JQ596536,-,JQ596612
Cmouhotii_HBS41868,H.B Shaffer Collection,JQ596022,JQ596062,JQ596102,JQ596142,JQ596182,EF011289,JQ596231,JQ596405,-,EF011439,JQ596451,JQ596498,JQ596537,-,JQ596613
Cmydas_HBS109887,H.B Shaffer Collection,GU085510,GU085529,GU085548,GU085567,GU085586,EU787076,GU085619,GU085637,GU085655,EU787159,AY687907,GU085695,EU787266,EU787373,GU085836
Cmydas_HBS112690,H.B Shaffer Collection,MT958336,MT964008,MT958899,MT959410,MT965018,MT959933,MT960346,MT964942,MT960921,MT961253,MT961743,MT962170,MT962662,MT963096,MT963471
Cnovaeguineae_429,University of Canberra Wildlife Tissue Collection,MT958337,MT964009,MT959256,MT959411,MT965476,MT959934,-,MT964810,-,MT961254,MT961744,MT962171,MT962663,MT963097,MT963472
Cnovaeguineae_440,University of Canberra Wildlife Tissue Collection,MT958338,MT964010,MT959253,MT959412,MT965294,-,-,MT964897,MT960711,MT961255,MT961745,MT962172,MT962664,MT963098,MT963473
Cnovaeguineae_LACM183217,Los Angeles County Museum,MT958339,MT964011,MT959242,MT959413,MT965417,-,-,MT964529,MT960998,MT961256,MT961746,MT962173,MT962665,MT963099,MT963474
Coldhami_USNMFS35571,United States National Museum ,MT958340,MT964012,MT959226,MT959414,MT965220,MT959935,MT960347,MT964723,MT961172,MT961257,MT961747,MT962174,MT962666,MT963100,MT963475
Cpani_HBS117865,H.B Shaffer Collection,MT958341,MT964013,MT959223,MT959415,MT965182,MT959936,MT960348,MT964713,MT961124,MT961258,MT961748,MT962175,MT962667,MT963101,MT963476
Cpani_HBS41890,H.B Shaffer Collection,JQ596023,JQ596063,JQ596103,JQ596143,JQ596183,EF011293,JQ596232,JQ596406,JQ596368,EF011441,JQ596452,JQ596499,JQ596538,JQ596574,JQ596614
Cparkeri_AA042607,University of Canberra Wildlife Tissue Collection,MT958342,MT964014,MT959237,MT959416,MT965296,MT959937,-,MT964851,MT960984,MT961259,MT961749,MT962176,MT962668,MT963102,MT963477
Cparkeri_HBS112532,H.B Shaffer Collection,MT958343,MT964015,MT959235,MT959417,MT965295,MT959938,-,MT964903,MT960985,MT961260,MT961750,MT962177,MT962669,MT963103,MT963478
Cpicta_HBS27134,H.B Shaffer Collection,KX558370,KX558857,KX558333,KX558933,KX559050,FJ770627,KX559197,MG728558,KX558681,FJ770671,FJ770716,KX559231,FJ770806,FJ770852,KX559083
Cpicta_HBS27448,H.B Shaffer Collection,MT958345,MT964017,MT958933,MT959419,MT965058,FJ770628,MT960350,MT964565,MT960784,FJ770672,FJ770717,MT962179,FJ770807,FJ770853,MT963480
Cpicta_RCT428,Robert Thomson Collection,KX558371,KX558858,MG728119,MG728174,MG728284,MG728339,KC688087,KC687670,KX558682,KX559321,MT961751,MG728667,KX558716,MG728829,MT963481
Cpicturata_FMNH261575,Field Museum of Natural History,JQ596025,JQ596065,JQ596105,JQ596145,JQ596185,EF011295,JQ596234,JQ596408,JQ596369,EF011443,JQ596454,JQ596501,JQ596540,JQ596576,JQ596615
Cpicturata_HBS38448,H.B Shaffer Collection,JQ596026,JQ596066,JQ596106,JQ596146,JQ596186,EF011296,JQ596235,JQ596409,-,EF011444,JQ596455,JQ596502,JQ596541,JQ596577,JQ596616
